code,description,emergency,year
R47-R49,Symptoms & signs inv. speech & voice,6261.0,2018-19
R50-R68,General symptoms & signs,248772.0,2018-19
R69,Unknown & unspecified causes of morbidity,83685.0,2018-19
R70-R89,Abnormal findings of bodily fluids or samples without diag.,9835.0,2018-19
R90-R94,Abnormal findings on diagnostic imaging/function studies,9530.0,2018-19
S00-S09,Injuries to the head,165396.0,2018-19
S10-S19,Injuries to the neck,9200.0,2018-19
S20-S29,Injuries to the thorax,27008.0,2018-19
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",38149.0,2018-19
S40-S49,Injuries to the shoulder & upper arm,37500.0,2018-19
S50-S59,Injuries to the elbow & forearm,52627.0,2018-19
S60-S69,Injuries to the wrist & hand,54182.0,2018-19
S70-S79,Injuries to the hip & thigh,80995.0,2018-19
S80-S89,Injuries to the knee & lower leg,64009.0,2018-19
S90-S99,Injuries to the ankle & foot,15141.0,2018-19
T00-T07,Injuries involving multiple body regions,3882.0,2018-19
T08-T14,Injuries to unspecified part of trunk limb or body,1468.0,2018-19
T15-T19,Effects of foreign body entering through natural orifice,14264.0,2018-19
T20-T32,Burns and corrosions,9680.0,2018-19
T33-T35,Frostbite,37.0,2018-19
T36-T50,Poisonings by drugs medicaments & biological substances,116256.0,2018-19
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,5878.0,2018-19
T66-T78,Other and unspecified effects of external causes,16080.0,2018-19
T79,Certain early complications of trauma,2851.0,2018-19
T80-T88,Complications of surgical & medical care nec.,124802.0,2018-19
T90-T98,Sequelae of injuries of poisoning & other consequences,2.0,2018-19
U00-U49,Provisional assignment of new diseases of uncertain etiology,3.0,2018-19
U80-U89,Bacterial agents resistant to antibiotics,0.0,2018-19
Z00-Z13,Examination and investigation,21440.0,2018-19
Z20-Z29,Potential health hazards related to communicable diseases,559.0,2018-19
Z30-Z39,Health services in circumstances related to reproduction,5603.0,2018-19
Z40-Z54,Persons encountering health services for specific care,8529.0,2018-19
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,628.0,2018-19
Z70-Z76,Persons encountering health services in other circs.,6671.0,2018-19
Z80-Z99,Persons with potential health hazards related to family,207.0,2018-19
‡ C51-C58,Malignant neoplasms of female genital organs,5087.0,2018-19
‡ C60-C63,Malignant neoplasms of male genital organs,5201.0,2018-19
‡ N40-N51,Diseases of male genital organs,39827.0,2018-19
‡ N70-N77,Inflammatory diseases of female pelvic organs,14301.0,2018-19
‡ N80-N98,Noninflammatory disorders of female genital tract,36309.0,2018-19
‡ O00-O08,Pregnancy with abortive outcome,48442.0,2018-19
"‡ O10-O75, O85-O92, O94-O99",Complications of labour and delivery,84655.0,2018-19
‡ O80-O84,Delivery,266.0,2018-19
